15
Открытый Псовые Волк 43 25 Нет
Открытый Птицы Сокол 14 3 Да
Внутренний Рыбы Щука 10 8 Нет
Закрытый Рептилии Черепаха 20 50 Да
Закрытый Приматы Горилла 35 180 Нет
Внутренний Птицы Фламинго 8 3 Да
Открытый Рептилии Игуана 12 6 Нет
Закрытый Парнокопытные Олень 7 90 Да
Внутренний Птицы Воробей 2 1 Нет
Открытый Хищники Тигр 15 200 Да
Закрытый Приматы Обезьяна 25 20 Нет
Внутренний Грызуны Белка 4 1 Нет
Открытый Птицы Синица 6 2 Да
Открытый Рептилии Крокодил 20 700 Да
Внутренний Парнокопытные Корова 12 500 Нет
